Intervalo de datas,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,SKU do produto anunciado-Advertised product SKU,Identificador do produto anunciado,Nome do produto anunciado,Marketplace do produto anunciado-Advertised product marketplace,ID do portfólio,Nome do portfólio,Moeda do orçamento,Impressões,Cliques,CTR,CPC,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra em relação aos cliques
22 de ago. de 2026 - 20 de set. de 2026,"=""108804692555847""",Campanha de Palavra-Chave Lixeiras banheiro-O4 25/08,"=""28534619762262""",Campanha de Palavra-Chave Lixeiras banheiro-O425/08,L2025-T,B0H6C5CTSC,Lixeira de Aço Inox com Tampa 7 Litros 20x25 cm Redonda Prateada para Banheiro e Cozinha,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,601,15,2.4958%,1.76467,26.47,265.80,10.04156,1,2,6.6667%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L2025-T,B0H6C5CTSC,Lixeira de Aço Inox com Tampa 7 Litros 20x25 cm Redonda Prateada para Banheiro e Cozinha,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,3235,63,1.9474%,0.67937,42.80,531.60,12.42056,4,4,6.3492%
24 de ago. de 2026 - 18 de set. de 2026,"=""227485829194320""",Campanha - Manual Bituqueiras Space,"=""179597446155591""",Manual Bituqueiras Space,SP-FF,B0H5X821QS,,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,8,0,0.0000%,,0.00,0.00,,0,0,
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,SP-FF,B0H5X821QS,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,103,1,0.9709%,0.52000,0.52,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L1618-B,B0H6KPN1XS,Lixeira Basculante em Aço Inox Redonda 3 Litros 16x18 cm Flip Top Compacta para Banheiro e Cozinha,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,922,9,0.9761%,0.62667,5.64,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L4060-B,B0H6H4NPN8,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,465,0,0.0000%,,0.00,0.00,,0,0,
22 de ago. de 2026 - 19 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,P4060ALC,B0H6H25KJX,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,317,0,0.0000%,,0.00,0.00,,0,0,
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,PG3060,B0H7T7K23P,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,1239,3,0.2421%,0.66667,2.00,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L3070-A,B0H4W6B587,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,251,0,0.0000%,,0.00,0.00,,0,0,
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L2030-A,B0H6XW8YF8,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,360,2,0.5556%,0.77500,1.55,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L3040-B,B0H5MGK37B,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,563,3,0.5329%,0.54000,1.62,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,P4080,B0H63W8G49,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,1624,9,0.5542%,0.78667,7.08,0.00,0.00000,0,0,0.0000%
25 de ago. de 2026 - 20 de set. de 2026,"=""160875308766462""",Campanha de Palavra-Chave Cinzeiros,"=""197709452963098""",Campanha de Palavra-Chave Cinzeiros,L2470-CZ,B0H3QLGVX5,,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,67,1,1.4925%,1.56000,1.56,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L2470-CZ,B0H3QLGVX5,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,569,1,0.1757%,0.75000,0.75,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 9 de set. de 2026,"=""118770317056339""",Campanha de Produto Indicado- L2470-CZ-o425/08,"=""14733660752446""",Campanha de Produto Indicado- L2470-CZ-o425/08,L2470-CZ,B0H3QLGVX5,,AMAZON_BR,146788124202114,campanha de produto indicado,BRL,1026,5,0.4873%,0.57800,2.89,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""108804692555847""",Campanha de Palavra-Chave Lixeiras banheiro-O4 25/08,"=""28534619762262""",Campanha de Palavra-Chave Lixeiras banheiro-O425/08,L2430-B,B0H6KY3BZD,Lixeira Basculante em Aço Inox Redonda 15 Litros 24x30 cm Vai e Vem para Uso Interno,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,302,1,0.3311%,1.25000,1.25,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L2430-B,B0H6KY3BZD,Lixeira Basculante em Aço Inox Redonda 15 Litros 24x30 cm Vai e Vem para Uso Interno,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,551,4,0.7260%,0.74500,2.98,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,Q3060-B,B0H51M7C59,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,823,8,0.9721%,0.57750,4.62,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,P1623,B0H4WYYG1W,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,393,3,0.7634%,0.79667,2.39,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L4075-B,B0H6H2BTKC,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,615,1,0.1626%,0.76000,0.76,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,P4070RA,B0H4NGLNQ4,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,636,1,0.1572%,0.49000,0.49,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L2470-B,B0H4W81CPN,Lixeira Basculante em Aço Inox 30 Litros 24x70 cm Redonda Vai e Vem para Uso Interno,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,990,9,0.9091%,0.61333,5.52,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L2025-B,B0H6L3552G,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,475,3,0.6316%,0.71333,2.14,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""108804692555847""",Campanha de Palavra-Chave Lixeiras banheiro-O4 25/08,"=""28534619762262""",Campanha de Palavra-Chave Lixeiras banheiro-O425/08,L2025-B,B0H6L3552G,,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,423,3,0.7092%,1.78000,5.34,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 18 de set. de 2026,"=""227485829194320""",Campanha - Manual Bituqueiras Space,"=""179597446155591""",Manual Bituqueiras Space,SP-PP,B0H5X97DR7,,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,7,2,28.5714%,0.45500,0.91,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""234950194216241""",campanha automática individual- SP-PP-o59/09,"=""559914515436204""",campanha automática individual- SP-PP-o59/09,SP-PP,B0H5X97DR7,,AMAZON_BR,1383289894499,campanha automatica individual,BRL,29085,14,0.0481%,1.16429,16.30,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,SP-PP,B0H5X97DR7,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,2370,4,0.1688%,0.69000,2.76,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L1623-T,B0H6C894TV,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,672,18,2.6786%,0.67111,12.08,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L1623,B0H5N4TR7B,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,176,0,0.0000%,,0.00,0.00,,0,0,
