Estado,Nome da campanha,Código do status,Status,Tipo,Segmentação,Nome do portfólio,Estratégia de lances da campanha,Data de início da campanha,Data de término da campanha,Média de tempo dentro do orçamento,Valor do orçamento da campanha (convertido),Valor do orçamento da campanha,Impressões,Parcela de impressões no topo da pesquisa,Ajuste de lance para o topo da pesquisa,Cliques,CTR,Custo total (convertido),Custo total,CPC (convertido),CPC,Compras,Vendas (convertido),Vendas,ACOS,ROAS,Alcance por domicílio
PAUSADO,Campanha de Palavra-Chave- PG3070-o116/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de palavra chave,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Palavra-Chave- L2450--CZ-o116/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de palavra chave,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
ATIVADO,Campanha Manual Palavra-Chave L3070-B,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Campanhas Manuais Claude,Lances fixos,11/08/2026,,,"R$ 5,00","R$ 5,00",88,"26,15%","0,25",0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Produto Indicado- L2450--CZ-o103/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de produto indicado,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Palavra-Chave- P4080-o116/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de palavra chave,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Produto Indicado- SP-PP-o103/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de produto indicado,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
ATIVADO,Campanha de Produto Indicado- PXM-o311/08,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 40,00","R$ 40,00",165,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Palavra-Chave- P3070-o116/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de palavra chave,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,campanha automática individual- L2440-AML-o115/07,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,campanha automatica individual,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Palavra-Chave- L2030-B-o103/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de palavra chave,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
