Intervalo de datas,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,SKU do produto anunciado-Advertised product SKU,Identificador do produto anunciado,Nome do produto anunciado,Marketplace do produto anunciado-Advertised product marketplace,ID do portfólio,Nome do portfólio,Moeda do orçamento,Impressões,Cliques,CTR,CPC,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra em relação aos cliques
24 de ago. de 2026 - 30 de ago. de 2026,"=""227485829194320""",Campanha - Manual Bituqueiras Space,"=""179597446155591""",Manual Bituqueiras Space,SP-01,B0H5Z1XK3V,Coletor de Bitucas Inox de Chão Space Redondo com Tampa 27x92 cm para Empresas e Condomínios,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,5,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 30 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2430-AML,B0H6MYJ5P3,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,131,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2440-B,B0H5M7DCH6,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,142,1,0.7042%,0.74000,0.74,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""51867061249884""",Campanha Manual Palavra-Chave L3070-B,"=""37073533131431""",Campanha Manual Palavra-Chave L3070-B,L3070-B,B0H6KN61XR,Lixeira Basculante em Aço Inox 50 Litros 30x70 cm Redonda Tampa Vai e Vem Cozinha Comércio,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,55,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L3070-B,B0H6KN61XR,Lixeira Basculante em Aço Inox 50 Litros 30x70 cm Redonda Tampa Vai e Vem Cozinha Comércio,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,309,2,0.6472%,0.65500,1.31,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2460-B,B0H6KTGGM8,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,69,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,Q2460-A,B0H4P1FFWQ,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,90,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L1623-B,B0H6KT72NN,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,319,1,0.3135%,0.49000,0.49,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""108804692555847""",Campanha de Palavra-Chave Lixeiras banheiro-O4 25/08,"=""28534619762262""",Campanha de Palavra-Chave Lixeiras banheiro-O425/08,L1623-B,B0H6KT72NN,,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,70,1,1.4286%,1.31000,1.31,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,EMB-05P,B0H77J9YF2,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,567,0,0.0000%,,0.00,0.00,,0,0,
