Data inicial,Data de término,País,Termo de pesquisa do cliente,Classificação de impressão de termo de pesquisa,Parcela de impressões de termo de pesquisa,Palavra-chave,Tipo de correspondência,Nome do portfólio,Nome da campanha,Nome do grupo de anúncios,Moeda,Cliques,Impressões,Taxa de cliques (CTR),Gastos,Custo por clique (CPC),Total de pedidos em 7 dias (N.º),"Total de vendas em 7 dias ","Total do custo de publicidade das vendas (ACOS) ",Retorno total sobre gastos com anúncios (ROAS),Taxa de conversão em 7 dias
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira inox 50 litros com pedal,3,7.530%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,7,14.290%,R$0.09,R$0.09,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira prateada banheiro,1,100.000%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,2,7,28.570%,R$1.23,R$0.61,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b0778td2ly,4,7.230%,"asin-expanded=""B0H4RY2L65""",-,campanha de produto indicado,Campanha de Produto Indicado- L2440-AML-o103/07,Campanha de Produto Indicado- L2440-AML-o103/07,BRL,1,2,50.000%,R$0.55,R$0.55,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b0778td2ly,4,7.230%,"asin-expanded=""B0778TD2LY""",-,campanha de produto indicado,Campanha de Produto Indicado- P3070-o228/07,Campanha de Produto Indicado- P3070-o228/07,BRL,1,4,25.000%,R$1.4,R$1.4,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b0cz4dfcmw,5,1.410%,"asin-expanded=""B0CZ4DFCMW""",-,campanha de produto indicado,campanha de produto indicado-P3060-o115/07,campanha de produto indicado-P3060-o115/07,BRL,1,6,16.669999999999998%,R$0.44,R$0.44,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b0f4t8fcdd,29,0.110%,"asin-expanded=""B0F4T8FCDD""",-,campanha de produto indicado,Campanha de Produto Indicado- L2440-AML-o103/07,Campanha de Produto Indicado- L2440-AML-o103/07,BRL,1,6,16.669999999999998%,R$0.87,R$0.87,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b0fcstjmvq,1,100.000%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,2,4,50.000%,R$0.78,R$0.39,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b0fcstjmvq,1,100.000%,"asin-expanded=""B08QD2J6VW""",-,campanha de produto indicado,Campanha de Produto Indicado- L2030-B-o311/08,Campanha de Produto Indicado- L2030-B-o311/08,BRL,1,2,50.000%,R$0.52,R$0.52,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b0h4nlbg1y,1,60.000%,"asin-expanded=""B0C5N9HQJM""",-,campanha de produto indicado,Campanha de Produto Indicado- P3070-o228/07,Campanha de Produto Indicado- P3070-o228/07,BRL,1,6,16.669999999999998%,R$1.1,R$1.1,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira basculante banheiro 7 litros,1,100.000%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,6,16.669999999999998%,R$0.8,R$0.8,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira de 80 litros basculante,1,100.000%,lixeira 80 litros basculante,EXACT,Campanhas Manuais Claude,Campanha Manual Palavra-Chave L3070-B,Campanha Manual Palavra-Chave L3070-B,BRL,1,6,16.669999999999998%,R$1.1,R$1.1,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira grande cozinha,20,0.190%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,6,16.669999999999998%,R$0.77,R$0.77,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira inox 20 litros,30,0.050%,lixeira inox 20 litros,PHRASE,campanha de palavra chave,Campanha de Palavra-Chave- L2440-AML-o103/07,Campanha de Palavra-Chave- L2440-AML-o103/07,BRL,1,6,16.669999999999998%,R$0.79,R$0.79,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira inox grande,3,2.5499999999999997%,lixeira inox grande,PHRASE,campanha de palavra chave,Campanha de Palavra-Chave- P4080-o116/07,Campanha de Palavra-Chave- P4080-o116/07,BRL,1,3,33.330%,R$1.16,R$1.16,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira inox grande,3,2.5499999999999997%,lixeira inox grande,EXACT,campanha de palavra chave,Campanha de Palavra-Chave- P4080-o116/07,Campanha de Palavra-Chave- P4080-o116/07,BRL,1,1,100.000%,R$2.27,R$2.27,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira inox grande,3,2.5499999999999997%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,2,50.000%,R$0.71,R$0.71,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,porta chá,114,0.010%,*,-,campanha automatica individual,campanha automática inidividual- PXP-o311/08,campanha automática inidividual- PXP-o311/08,BRL,1,6,16.669999999999998%,R$1.09,R$1.09,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,arara de roupas de parede,25,0.210%,*,-,campanha automatica individual,campanha automática individual- SP-PP-o116/07,campanha automática individual- SP-PP16/07,BRL,1,5,20.000%,R$1.32,R$1.32,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b0ctmzhjfj,3,6.170%,"asin-expanded=""B0CTMZHJFJ""",-,campanha de produto indicado,Campanha de Produto Indicado- P3070-o228/07,Campanha de Produto Indicado- P3070-o228/07,BRL,1,2,50.000%,R$1.17,R$1.17,0,R$0.0,,0.0,0.000%
