Estado,Nome da campanha,Código do status,Status,Tipo,Segmentação,Nome do portfólio,Estratégia de lances da campanha,Data de início da campanha,Data de término da campanha,Média de tempo dentro do orçamento,Valor do orçamento da campanha (convertido),Valor do orçamento da campanha,Impressões,Parcela de impressões no topo da pesquisa,Ajuste de lance para o topo da pesquisa,Cliques,CTR,Custo total (convertido),Custo total,CPC (convertido),CPC,Compras,Vendas (convertido),Vendas,ACOS,ROAS
ATIVADO,Campanha automática individual EGC,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,AUTOMATIC,campanha automatica individual,Lances fixos,11/08/2026,,,"R$ 5,00","R$ 5,00",370,0,0,2,"0,0054","R$ 1,11","R$ 1,11","R$ 0,55","R$ 0,55",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Produto Indicado- P4080-o115/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de produto indicado,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",18,<5%,0,2,"0,1111","R$ 1,09","R$ 1,09","R$ 0,55","R$ 0,55",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Palavra-Chave- SP-01-o116/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de palavra chave,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Palavra-Chave- P3050-o116/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de palavra chave,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",26,<5%,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Palavra-Chave- PG3070-o116/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de palavra chave,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
ATIVADO,Campanha de Produto Indicado- PG3070-o228/07,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",373,<5%,0,1,"0,0027","R$ 0,79","R$ 0,79","R$ 0,79","R$ 0,79",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Palavra-Chave- L2450--CZ-o116/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de palavra chave,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
ATIVADO,Campanha Manual Palavra-Chave L3070-B,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Campanhas Manuais Claude,Lances fixos,11/08/2026,,,"R$ 5,00","R$ 5,00",180,"25,83%","0,25",4,"0,0222","R$ 3,50","R$ 3,50","R$ 0,88","R$ 0,88",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Produto Indicado- L2450--CZ-o103/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de produto indicado,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",34,"13,04%",0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Palavra-Chave- P4080-o116/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de palavra chave,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",11,"16,67%",0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Produto Indicado- SP-PP-o103/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de produto indicado,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",19,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
ATIVADO,Campanha de Produto Indicado- PXM-o311/08,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 40,00","R$ 40,00",240,<5%,0,1,"0,0042","R$ 0,59","R$ 0,59","R$ 0,59","R$ 0,59",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Palavra-Chave- P3070-o116/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de palavra chave,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",23,<5%,0,1,"0,0435","R$ 1,99","R$ 1,99","R$ 1,99","R$ 1,99",0,"R$ 0,00","R$ 0,00",0,0
ATIVADO,Campanha de Produto Indicado- P3050-o228/07,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,campanha de produto indicado,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 20,00","R$ 20,00",1339,<5%,0,2,"0,0015","R$ 1,76","R$ 1,76","R$ 0,88","R$ 0,88",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,campanha automática individual- L2440-AML-o115/07,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,campanha automatica individual,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",17,"8,00%",0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Palavra-Chave- L2030-B-o103/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de palavra chave,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",17,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
ATIVADO,Campanha de Produto Indicado- L2030-B-o311/08,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 40,00","R$ 40,00",256,<5%,0,3,"0,0117","R$ 2,53","R$ 2,53","R$ 0,84","R$ 0,84",0,"R$ 0,00","R$ 0,00",0,0
ATIVADO,Campanha de Produto Indicado- L2470-CZ-o228/07,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",595,"5,56%",0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
