Intervalo de datas,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,SKU do produto anunciado-Advertised product SKU,Identificador do produto anunciado,Nome do produto anunciado,Marketplace do produto anunciado-Advertised product marketplace,ID do portfólio,Nome do portfólio,Moeda do orçamento,Impressões,Cliques,CTR,CPC,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra em relação aos cliques
20 de ago. de 2026 - 21 de ago. de 2026,"=""227485829194320""",Campanha - Manual Bituqueiras Space,"=""179597446155591""",Manual Bituqueiras Space,SP-FF,B0H5X821QS,,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,4,0,0.0000%,,0.00,0.00,,0,0,
25 de jul. de 2026 - 11 de ago. de 2026,"=""108685489444736""",campanha automática individual- SP-FF-o116/07,"=""424840713357077""",campanha automática individual- SP-FF-o116/07,SP-FF,B0H5X821QS,,AMAZON_BR,1383289894499,campanha automatica individual,BRL,1141,1,0.0876%,0.71000,0.71,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 11 de ago. de 2026,"=""229314137254983""",Campanha de Produto Indicado- SP-FF-o103/07,"=""274667933716671""",Campanha de Produto Indicado- SP-FF-o103/07,SP-FF,B0H5X821QS,,AMAZON_BR,146788124202114,campanha de produto indicado,BRL,413,2,0.4843%,0.49000,0.98,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,EMB-03,B0H52SC552,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,435,1,0.2299%,0.49000,0.49,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,P4060ALC,B0H6H25KJX,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,112,0,0.0000%,,0.00,0.00,,0,0,
25 de jul. de 2026 - 11 de ago. de 2026,"=""123525465502040""",campanha de palavra chave- P3060-o116/07,"=""49233190069824""",campanha de palavra chave- P3060-o116/07,P3060,B0H4NLBG1Y,,AMAZON_BR,178029480993742,campanha de palavra chave,BRL,385,3,0.7792%,2.34667,7.04,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,P3060,B0H4NLBG1Y,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,1553,9,0.5795%,0.64667,5.82,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 23 de ago. de 2026,"=""54057381293334""",campanha de produto indicado-P3060-o115/07,"=""162752730016997""",campanha de produto indicado-P3060-o115/07,P3060,B0H4NLBG1Y,,AMAZON_BR,146788124202114,campanha de produto indicado,BRL,1056,10,0.9470%,0.54700,5.47,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2030-A,B0H6XW8YF8,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,280,3,1.0714%,0.74000,2.22,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2425-B,B0H6KPK494,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,597,3,0.5025%,0.74333,2.23,0.00,0.00000,0,0,0.0000%
