Intervalo de datas,Termo de pesquisa,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,Segmentação,Tipo de correspondência de segmentação-Targeting match type,ID do portfólio,Nome do portfólio,SKU do produto anunciado-Advertised product SKU,Moeda do orçamento,Impressões,Cliques,CPC,CTR,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra em relação aos cliques
25 de ago. de 2026 - 28 de ago. de 2026,B09YDKHT3H,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P2440,BRL,5,1,0.80000,20.0000%,0.80,0.00,0.00000,0,0,0.0000%
31 de ago. de 2026 - 31 de ago. de 2026,lixeira inox 70 litros,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P3070,BRL,1,1,0.80000,100.0000%,0.80,0.00,0.00000,0,0,0.0000%
16 de ago. de 2026 - 16 de ago. de 2026,B0GXFG92PZ,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1623-T,BRL,1,1,0.54000,100.0000%,0.54,0.00,0.00000,0,0,0.0000%
11 de set. de 2026 - 13 de set. de 2026,lixeira cozinha 50 litros inox,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,close-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P3060,BRL,2,1,0.80000,50.0000%,0.80,0.00,0.00000,0,0,0.0000%
20 de ago. de 2026 - 7 de set. de 2026,B0FXBDL5SQ,"=""60867425277707""",campanha automática inidividual- PXP-o311/08,"=""374068040998928""",campanha automática inidividual- PXP-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,1383289894499,campanha automatica individual,PXP,BRL,20,1,1.27000,5.0000%,1.27,0.00,0.00000,0,0,0.0000%
8 de set. de 2026 - 8 de set. de 2026,lixeira de inox 62 litros brinox,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L4050-B,BRL,1,1,0.49000,100.0000%,0.49,0.00,0.00000,0,0,0.0000%
3 de set. de 2026 - 3 de set. de 2026,lixeira basculante inox 40 litros,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L3050-B,BRL,1,1,0.72000,100.0000%,0.72,0.00,0.00000,0,0,0.0000%
9 de set. de 2026 - 9 de set. de 2026,lixeira banheiro 5l com tampa inox,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1623-T,BRL,1,1,0.79000,100.0000%,0.79,0.00,0.00000,0,0,0.0000%
8 de set. de 2026 - 8 de set. de 2026,lixeira cozinha inox 50 litros,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P3070,BRL,1,1,0.42000,100.0000%,0.42,0.00,0.00000,0,0,0.0000%
16 de ago. de 2026 - 27 de ago. de 2026,lixeira de 30 litros,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,Q2460-B,BRL,3,1,0.52000,33.3333%,0.52,0.00,0.00000,0,0,0.0000%
