ASIN (parent),ASIN (child),Título,Sessões - Total,Porcentagem de sessões – Total,Visualizações da página - Total,Porcentagem de visualizações de páginas – Total,Porcentagem de Ofertas em destaque,Unidades pedidas,Porcentagem de sessão de unidade,Vendas de produtos pedidos,Total de itens do pedido
B0H6KY3BZD,B0H6KY3BZD,Lixeira Basculante em Aço Inox Redonda 15 Litros 24x30 cm Vai e Vem para Uso Interno,3,1.05%,4,1.15%,100.00%,0,0.00%,"R$ 0,00",0
B0H6L3552G,B0H6L3552G,Lixeira Basculante em Aço Inox Redonda 7 Litros 20x25 cm Vai e Vem para Uso Interno,2,0.70%,2,0.57%,100.00%,0,0.00%,"R$ 0,00",0
B0H6NM3QBS,B0H6NM3QBS,Lixeira Aro Meia Lua em Aço Inox 27 Litros 24x60 centímetros Prateada para Uso Interno,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H6QYZLYM,B0H6QYZLYM,Lixeira Aro em Aço Inox Polido 100 Litros 40x80 centímetros Prateada para Uso Interno,2,0.70%,2,0.57%,100.00%,0,0.00%,"R$ 0,00",0
B0H6XW8YF8,B0H6XW8YF8,Lixeira Aro em Aço Inox 10 Litros 20x30 cm Redonda Polida para Banheiro Cozinha e Escritório,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H6XYM5GF,B0H6XYM5GF,"Lixeira Aço Inox 7 Litros com Aro 20x25 cm Redonda para Banheiro, Lavabo e Escritório",1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H72HJC34,B0H72HJC34,Lixeira com Pedal em Aço Inox 100 Litros 40x80 cm com Alças para Hospital Hotel Restaurante,3,1.05%,3,0.86%,100.00%,0,0.00%,"R$ 0,00",0
B0H735FC9N,B0H735FC9N,Lixeira Inox 60L com Pedal e Alça 30x70 Aço Inoxidável Polido Prateada para Uso Interno,3,1.05%,3,0.86%,100.00%,0,0.00%,"R$ 0,00",0
B0H77661G6,B0H77661G6,Lixeira de Aço Inox com Tampa 10 Litros 20x30 cm para Banheiro Cozinha Escritório,4,1.39%,4,1.15%,100.00%,0,0.00%,"R$ 0,00",0
B0H77M42RM,B0H77M42RM,Lixeira de Embutir Redonda Inox 8 Litros para Pia Cozinha com Balde de Alumínio,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H7KTWPXB,B0H7KTWPXB,Lixeira com Pedal em Aço Inox 75 Litros 40x60 cm Redonda Polida para Uso Interno,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H7KWNLZ4,B0H7KWNLZ4,Lixeira Redonda com Pedal Aço Inox 15L 24x30 cm Tampa Higiênica Abertura Sem Contato,2,0.70%,2,0.57%,100.00%,0,0.00%,"R$ 0,00",0
B0H7LGF1WN,B0H7LGF1WN,Lixeira Redonda com Pedal em Aço Inox 20L 24x40 cm Tampa com Abertura Higiênica,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H7T7K23P,B0H7T7K23P,Cesto Porta Guarda-Chuva Redondo em Aço Inox 40 Litros 30x60 cm Suporte Organizador para Entrada Recepção Escritório,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H7TBGPJJ,B0H7TBGPJJ,Porta Guarda-Chuva em Aço Inox 62 Litros 40x50 cm Redondo para Recepção Escritório Hotel,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H7YNMBBK,B0H7YNMBBK,Lixeira Basculante Quadrada em Aço Inox 30 Litros 24x60 cm com Tampa Flip Top Polida,14,4.88%,17,4.87%,100.00%,0,0.00%,"R$ 0,00",0
B0H7ZGZ8DK,B0H7ZGZ8DK,Lixeira Aro Quadrada em Aço Inox 100 Litros 40x70 centímetros com Tampa e Aro Removível,3,1.05%,3,0.86%,100.00%,0,0.00%,"R$ 0,00",0
