Intervalo de datas,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,Estratégia de lances do grupo de anúncios,Segmentação,Tipo de correspondência de segmentação-Targeting match type,ID do segmento,Lance do segmento,ID do portfólio,Nome do portfólio,Moeda do orçamento,Impressões,Cliques,CTR,CPC,Custo total,Vendas,Compras,Taxa de compra em relação aos cliques,Unidades vendidas,ROAS
23 de jun. de 2026 - 28 de jul. de 2026,"=""7243834473931""",Campanha de Produto Indicado- PG3070-o425/08,"=""212453488975658""",Campanha de Produto Indicado- PG3070-o425/08,,"asin-expanded=""B0G49PTDGK""",TARGETING_EXPRESSION,257482509830744,0.66,146788124202114,campanha de produto indicado,BRL,7,0,0.0000%,,0.00,0.00,0,,0,
10 de jul. de 2026 - 19 de jul. de 2026,"=""125746095085649""",Campanha de Palavra-Chave- L1618-T-o103/07,"=""256552842658121""",Campanha de Palavra-Chave- L1618-T-o103/07,,lixeira inox para lavabo,PHRASE,231580669722608,1.2,178029480993742,campanha de palavra chave,BRL,4,0,0.0000%,,0.00,0.00,0,,0,
5 de jul. de 2026 - 22 de jul. de 2026,"=""220339920491993""",Campanha de Produto Indicado- L1618-A-o103/07,"=""216344585748751""",Campanha de Produto Indicado- L1618-A-o103/07,,"asin-expanded=""B0CV4CZJQY""",TARGETING_EXPRESSION,45427781975270,0.58,146788124202114,campanha de produto indicado,BRL,4,0,0.0000%,,0.00,0.00,0,,0,
1 de jul. de 2026 - 3 de ago. de 2026,"=""100493751446075""",Campanha de Produto Indicado- L1618-T-o103/07,"=""78690051619891""",Campanha de Produto Indicado- L1618-T-o103/07,,"asin-expanded=""B085ZVHTW5""",TARGETING_EXPRESSION,143532203082383,0.69,146788124202114,campanha de produto indicado,BRL,8,0,0.0000%,,0.00,0.00,0,,0,
22 de jun. de 2026 - 21 de ago. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,,"asin-expanded=""B0F7RN8KDN""",TARGETING_EXPRESSION,45314234657504,0.78,146788124202114,campanha de produto indicado,BRL,37,0,0.0000%,,0.00,0.00,0,,0,
27 de jun. de 2026 - 10 de ago. de 2026,"=""100493751446075""",Campanha de Produto Indicado- L1618-T-o103/07,"=""78690051619891""",Campanha de Produto Indicado- L1618-T-o103/07,,"asin-expanded=""B0DZV82N4P""",TARGETING_EXPRESSION,150248917291828,0.69,146788124202114,campanha de produto indicado,BRL,23,1,4.3478%,0.65000,0.65,0.00,0,0.0000%,0,0.00000
28 de jun. de 2026 - 17 de jul. de 2026,"=""98086879114039""",Campanha de Produto Indicado- L2470-B-o115/07,"=""38205454685839""",Campanha de Produto Indicado- L2470-B-o115/07,,"asin-expanded=""B0FPRDVNJV""",TARGETING_EXPRESSION,139544138440773,0.55,146788124202114,campanha de produto indicado,BRL,50,0,0.0000%,,0.00,0.00,0,,0,
10 de jul. de 2026 - 8 de ago. de 2026,"=""220339920491993""",Campanha de Produto Indicado- L1618-A-o103/07,"=""216344585748751""",Campanha de Produto Indicado- L1618-A-o103/07,,"asin-expanded=""B076TJJ1RQ""",TARGETING_EXPRESSION,222657098372628,0.58,146788124202114,campanha de produto indicado,BRL,5,0,0.0000%,,0.00,0.00,0,,0,
19 de jun. de 2026 - 8 de jul. de 2026,"=""94513382818422""",Campanha de Categoria- P4080-o108/07,"=""242693224488587""",Campanha de Categoria- P4080-o108/07,,"category=""Coleta de lixo comercial""",TARGETING_EXPRESSION,146832047424999,1.1,160228624383420,campanha de categoria,BRL,436,0,0.0000%,,0.00,0.00,0,,0,
18 de jun. de 2026 - 9 de ago. de 2026,"=""100493751446075""",Campanha de Produto Indicado- L1618-T-o103/07,"=""78690051619891""",Campanha de Produto Indicado- L1618-T-o103/07,,"asin-expanded=""B0H2FLFLTX""",TARGETING_EXPRESSION,69768099648755,0.69,146788124202114,campanha de produto indicado,BRL,47,2,4.2553%,0.70000,1.40,0.00,0,0.0000%,0,0.00000
25 de jun. de 2026 - 24 de ago. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B08HJR5TDG""",TARGETING_EXPRESSION,258730757546008,1.1,146788124202114,campanha de produto indicado,BRL,124,2,1.6129%,1.33000,2.66,0.00,0,0.0000%,0,0.00000
4 de ago. de 2026 - 5 de ago. de 2026,"=""108804692555847""",Campanha de Palavra-Chave Lixeiras banheiro-O4 25/08,"=""28534619762262""",Campanha de Palavra-Chave Lixeiras banheiro-O425/08,,lixeira basculante inox banheiro,EXACT,52580074547268,1.5,99873185432506,Campanhas Manuais Claude,BRL,12,0,0.0000%,,0.00,0.00,0,,0,
25 de jun. de 2026 - 16 de ago. de 2026,"=""3262494915796""",Campanha de Produto Indicado- P3050-o425/08,"=""113839187289861""",Campanha de Produto Indicado- P3050-o425/08,,"asin-expanded=""B0DF9VRKD4""",TARGETING_EXPRESSION,50270218881990,0.55,146788124202114,campanha de produto indicado,BRL,411,2,0.4866%,1.06500,2.13,0.00,0,0.0000%,0,0.00000
21 de jun. de 2026 - 15 de jul. de 2026,"=""81989474043493""",Campanha de Produto Indicado- P4080-o115/07,"=""40741820515357""",Campanha de Produto Indicado- P4080-o115/07,,"asin-expanded=""B0CFG94B8Z""",TARGETING_EXPRESSION,119505433294470,0.55,146788124202114,campanha de produto indicado,BRL,152,0,0.0000%,,0.00,0.00,0,,0,
11 de ago. de 2026 - 7 de set. de 2026,"=""78244851008766""",Campanha automática individual EGC,"=""394021670034987""",Campanha automática individual EGC,,substitutes,TARGETING_EXPRESSION_PREDEFINED,304331317553305,,1383289894499,campanha automatica individual,BRL,680,3,0.4412%,0.61333,1.84,0.00,0,0.0000%,0,0.00000
17 de jun. de 2026 - 29 de jun. de 2026,"=""118770317056339""",Campanha de Produto Indicado- L2470-CZ-o425/08,"=""14733660752446""",Campanha de Produto Indicado- L2470-CZ-o425/08,,"asin-expanded=""B0D7DV81YZ""",TARGETING_EXPRESSION,251284046954134,0.66,146788124202114,campanha de produto indicado,BRL,3,0,0.0000%,,0.00,0.00,0,,0,
23 de jun. de 2026 - 10 de ago. de 2026,"=""252196439586079""",Campanha de Palavra-Chave- PXM-o116/07,"=""64600466795928""",Campanha de Palavra-Chave- PXM-o116/07,,suporte para extintor 6kg,PHRASE,233892478586654,1.44,178029480993742,campanha de palavra chave,BRL,11,0,0.0000%,,0.00,0.00,0,,0,
20 de jun. de 2026 - 21 de jul. de 2026,"=""3262494915796""",Campanha de Produto Indicado- P3050-o425/08,"=""113839187289861""",Campanha de Produto Indicado- P3050-o425/08,,"asin-expanded=""B0GSGT3FKG""",TARGETING_EXPRESSION,49020771863594,0.55,146788124202114,campanha de produto indicado,BRL,39,0,0.0000%,,0.00,0.00,0,,0,
22 de jun. de 2026 - 5 de set. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B09YDKHT3H""",TARGETING_EXPRESSION,191870832568234,1.1,146788124202114,campanha de produto indicado,BRL,318,0,0.0000%,,0.00,0.00,0,,0,
22 de jun. de 2026 - 7 de set. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B08D8NFYZL""",TARGETING_EXPRESSION,94374351652094,1.0,146788124202114,campanha de produto indicado,BRL,73,1,1.3699%,1.33000,1.33,0.00,0,0.0000%,0,0.00000
21 de jun. de 2026 - 27 de ago. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,,"asin-expanded=""B07MHD9HRB""",TARGETING_EXPRESSION,7166846400364,0.78,146788124202114,campanha de produto indicado,BRL,24,0,0.0000%,,0.00,0.00,0,,0,
2 de jul. de 2026 - 16 de jul. de 2026,"=""81989474043493""",Campanha de Produto Indicado- P4080-o115/07,"=""40741820515357""",Campanha de Produto Indicado- P4080-o115/07,,"asin-expanded=""B076TFGQZ7""",TARGETING_EXPRESSION,219994001660128,0.55,146788124202114,campanha de produto indicado,BRL,168,0,0.0000%,,0.00,0.00,0,,0,
7 de jul. de 2026 - 29 de ago. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,,"asin-expanded=""B076JLG2PV""",TARGETING_EXPRESSION,76095957983871,0.78,146788124202114,campanha de produto indicado,BRL,21,0,0.0000%,,0.00,0.00,0,,0,
1 de jul. de 2026 - 23 de jul. de 2026,"=""125746095085649""",Campanha de Palavra-Chave- L1618-T-o103/07,"=""256552842658121""",Campanha de Palavra-Chave- L1618-T-o103/07,,lixeira inox 3 litros,EXACT,186139720082794,1.2,178029480993742,campanha de palavra chave,BRL,18,0,0.0000%,,0.00,0.00,0,,0,
16 de jun. de 2026 - 9 de ago. de 2026,"=""100493751446075""",Campanha de Produto Indicado- L1618-T-o103/07,"=""78690051619891""",Campanha de Produto Indicado- L1618-T-o103/07,,"asin-expanded=""B0GVVLW9BP""",TARGETING_EXPRESSION,105256575230509,0.69,146788124202114,campanha de produto indicado,BRL,13,0,0.0000%,,0.00,0.00,0,,0,
20 de jun. de 2026 - 25 de jul. de 2026,"=""70230654464817""",Campanha de Produto Indicado- L2440-AML-o103/07,"=""202389980731948""",Campanha de Produto Indicado- L2440-AML-o103/07,,"asin-expanded=""B076VVH2PC""",TARGETING_EXPRESSION,91616288721605,1.1,146788124202114,campanha de produto indicado,BRL,31,0,0.0000%,,0.00,0.00,0,,0,
15 de jun. de 2026 - 28 de jul. de 2026,"=""246652946970837""",campanha automática individual- L2470-B-o115/07,"=""334383283177829""",campanha automática individual- L2470-B-o115/07,,close-match,TARGETING_EXPRESSION_PREDEFINED,383747329615185,1.0,1383289894499,campanha automatica individual,BRL,2398,8,0.3336%,0.76875,6.15,0.00,0,0.0000%,0,0.00000
1 de jul. de 2026 - 7 de ago. de 2026,"=""220339920491993""",Campanha de Produto Indicado- L1618-A-o103/07,"=""216344585748751""",Campanha de Produto Indicado- L1618-A-o103/07,,"asin-expanded=""B0FFRGJQPV""",TARGETING_EXPRESSION,257149637762964,0.58,146788124202114,campanha de produto indicado,BRL,9,0,0.0000%,,0.00,0.00,0,,0,
20 de jun. de 2026 - 10 de ago. de 2026,"=""81989474043493""",Campanha de Produto Indicado- P4080-o115/07,"=""40741820515357""",Campanha de Produto Indicado- P4080-o115/07,,"asin-expanded=""B09YDLC69D""",TARGETING_EXPRESSION,210729489004637,0.5,146788124202114,campanha de produto indicado,BRL,148,1,0.6757%,0.39000,0.39,0.00,0,0.0000%,0,0.00000
16 de jun. de 2026 - 24 de jul. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,,"asin-expanded=""B0GZLCSS5W""",TARGETING_EXPRESSION,199093854141146,0.78,146788124202114,campanha de produto indicado,BRL,25,0,0.0000%,,0.00,0.00,0,,0,
23 de jun. de 2026 - 7 de set. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B0FD53H3VC""",TARGETING_EXPRESSION,62638220339719,1.1,146788124202114,campanha de produto indicado,BRL,72,0,0.0000%,,0.00,0.00,0,,0,
