Estado,Nome da campanha,País,Código do status,Status,Tipo,Segmentação,Varejista,Nome do portfólio,Estratégia de lances da campanha,Data de início da campanha,Data de término da campanha,Média de tempo dentro do orçamento,Valor do orçamento da campanha (convertido),Valor do orçamento da campanha,Tipo de custo,Impressões,Parcela de impressões no topo da pesquisa,Ajuste de lance para o topo da pesquisa,Cliques,CTR,Custo total (convertido),Custo total,CPC (convertido),CPC,Visualizações da página de detalhes,Visualizações da página da Brand Store,Compras,Vendas (convertido),Vendas,ACOS,ROAS,Compras (clientes novos para a marca),Percentual de compras de clientes novos para a marca,Vendas (clientes novos para a marca) (convertido),Vendas (clientes novos para a marca),Percentual de vendas novas para a marca,Vendas a longo prazo (convertido),Vendas a longo prazo,ROAS de longo prazo,Alcance do usuário,Alcance por domicílio,Impressões visíveis,CPM (convertido),CPM,CPM visível (vCPM) (convertido),CPM visível (vCPM),Primeiro quartil (anúncio de vídeo),Metade (anúncio de vídeo),Terceiro quartil (anúncios de vídeo),Visualizações concluídas (anúncios de vídeo),Ativações do som (anúncios de vídeo),Distribuição visível,CTR visível (vCTR)
PAUSADO,Campanha de Produto Indicado- L1618-A-o103/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Produto Indicado- PXP-o103/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
ATIVADO,Campanha de Produto Indicado- PXM-o311/08,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 40,00","R$ 40,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
ATIVADO,Campanha de Produto Indicado- L2030-B-o311/08,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 40,00","R$ 40,00",CPC,0,"13,36%",0,1,"0,0035","R$ 0,77","R$ 0,77","R$ 0,77","R$ 0,77",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
ATIVADO,Campanha de Produto Indicado- L2470-CZ-o425/08,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,"11,32%",0,4,"0,0052","R$ 2,51","R$ 2,51","R$ 0,63","R$ 0,63",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Produto Indicado- L2440-AML-o103/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Produto Indicado- L2470-B-o115/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Produto Indicado- L1618-T-o103/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
ATIVADO,Campanha de Produto Indicado- PG3070-o425/08,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,<5%,0,1,"0,0022","R$ 0,99","R$ 0,99","R$ 0,99","R$ 0,99",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Categoria- L1618-A-o108/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
