Data inicial,Data de término,País,Termo de pesquisa do cliente,Classificação de impressão de termo de pesquisa,Parcela de impressões de termo de pesquisa,Palavra-chave,Tipo de correspondência,Nome do portfólio,Nome da campanha,Nome do grupo de anúncios,Moeda,Cliques,Impressões,Taxa de cliques (CTR),Gastos,Custo por clique (CPC),Total de pedidos em 7 dias (N.º),"Total de vendas em 7 dias ","Total do custo de publicidade das vendas (ACOS) ",Retorno total sobre gastos com anúncios (ROAS),Taxa de conversão em 7 dias
"Aug 08, 2026","Sep 06, 2026",Brasil,lixeira brinox 12l,3,9.090%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,1,100.000%,R$0.56,R$0.56,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,lixeira cilindrica,1,100.000%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,1,100.000%,R$0.46,R$0.46,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,lixeira coletor aço inox pilhas e baterias,1,100.000%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,1,100.000%,R$0.97,R$0.97,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,lixeira com pedal redonda 60 litros,1,100.000%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,1,100.000%,R$0.1,R$0.1,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,lixeira cozinha 3l,2,4.7600000000000006%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,1,100.000%,R$0.87,R$0.87,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,lixeira cozinha grande,26,0.040%,"asin=""B09YDKHT3H""",-,campanha de produto indicado,Campanha de Produto Indicado- P3070-o228/07,Campanha de Produto Indicado- P3070-o228/07,BRL,1,1,100.000%,R$0.97,R$0.97,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,lixeira cozinha inox 50l,6,0.400%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,1,100.000%,R$0.79,R$0.79,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,lixeira cromada para banheiro com tampa 5 litros,1,100.000%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,1,100.000%,R$0.65,R$0.65,1,R$132.9,0.490%,204.46,100.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,lixeira de 30 litros,6,2.500%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,1,100.000%,R$0.52,R$0.52,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,lixeira de aco tramontina 30 litros,1,100.000%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,1,100.000%,R$0.64,R$0.64,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,lixeira de aço inox com tampa 5 litros,1,100.000%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,1,100.000%,R$0.68,R$0.68,0,R$0.0,,0.0,0.000%
